,train pancreas dice 0,train lesion dice 0,train loss 0,val loss 0,train pancreas dice 1,train lesion dice 1,train loss 1,val loss 1,train pancreas dice 2,train lesion dice 2,train loss 2,val loss 2,train pancreas dice 3,train lesion dice 3,train loss 3,val loss 3,train pancreas dice 4,train lesion dice 4,train loss 4,val loss 4
0,0.0,0.0,0.22050852,0.043088865,0.4802857541109996,0.0,0.1232832,-0.07495697,0.41848759562081156,0.0,0.17804246,0.0038915093,0.4592363014675373,0.0,0.17322066,-0.028646123,0.4231274442023229,0.0,0.14567436,-0.025676515
1,0.5937285340669679,0.0,-0.104620226,-0.25958994,0.6522506971393691,0.426075627736104,-0.27087688,-0.36332366,0.6256486601822446,0.4904275552218616,-0.16532253,-0.32378405,0.6331023006283494,0.0,-0.1601342,-0.28477824,0.6303630066466526,0.48516010714171165,-0.20318757,-0.32204327
2,0.7216930475662496,0.6147467593716377,-0.34698406,-0.49823502,0.6979382470555772,0.5020742571726279,-0.51790667,-0.44408897,0.7179416936443855,0.5351745654014728,-0.4670451,-0.44881698,0.7245450720666553,0.5511451460986152,-0.42600873,-0.47890204,0.7043050310480823,0.5271478788218601,-0.49674898,-0.44291332
3,0.7460328606314167,0.6481017618343428,-0.54582804,-0.551511,0.7369965125067728,0.5158277600777766,-0.60361546,-0.48822403,0.7398646049625619,0.5128842418812167,-0.5785992,-0.44571805,0.7374078620400587,0.6079703469716345,-0.5744637,-0.52882403,0.7468292991223894,0.6122080394967879,-0.5973263,-0.5257186
4,0.7630439383383169,0.6352733958811068,-0.6033466,-0.5665535,0.7603624005216134,0.5781243649894109,-0.6453192,-0.5422152,0.7477893273125914,0.576236525692929,-0.6409,-0.4969827,0.7670846723312877,0.6126964201140432,-0.6358032,-0.5513065,0.742985907208393,0.5785379670692876,-0.6470611,-0.50193924
5,0.7810012596582451,0.644610593207009,-0.6534855,-0.5910677,0.7599079998831867,0.5001364988085995,-0.6785226,-0.49661905,0.7635585672981733,0.5796289181970232,-0.67440456,-0.5112515,0.7929255024720835,0.6068174726914308,-0.6735515,-0.57375664,0.7704630669703455,0.5804307989879286,-0.6843107,-0.5330348
6,0.7954329351396524,0.6423357799422519,-0.68576354,-0.6030596,0.7684386990916751,0.5720661134637784,-0.70596594,-0.5482797,0.7828686661831564,0.5596263416934815,-0.6973297,-0.51736677,0.8021244437736059,0.6318241916534079,-0.70230037,-0.59142804,0.7814640643515902,0.6012255924450565,-0.7078495,-0.5498769
7,0.8053480879145373,0.6801288131107043,-0.70496315,-0.62727785,0.7779834899354742,0.569253630307183,-0.7155363,-0.5537271,0.7863739819744106,0.5603895368968369,-0.71613145,-0.5210023,0.8019047496931473,0.5956466083405827,-0.7205233,-0.5685962,0.7726501067577409,0.6153789499393213,-0.7263099,-0.54680014
8,0.8119689044351911,0.6791774678060768,-0.7238951,-0.63824123,0.7866658047910894,0.5753156864672606,-0.73777944,-0.5612819,0.7939823975646049,0.6090848180706346,-0.73326534,-0.554346,0.7992566851260081,0.6388629490410984,-0.7348967,-0.6003902,0.7854070753240987,0.581449856035626,-0.74331325,-0.54358196
9,0.8182432734838399,0.6861970267206272,-0.7364645,-0.6462192,0.7977420636353787,0.5362002468825907,-0.7512024,-0.5472693,0.797857112943703,0.6069191441851076,-0.74181676,-0.5591043,0.8053041133889289,0.6291952443499239,-0.74682313,-0.59842986,0.7807364001414173,0.6252935451972814,-0.751921,-0.56901574
